title,rt_audience_score,rt_freshness,rt_score,genres,Genre_1,Genre_2,Genre_3,imdb_rating,length,rank_in_year,rating,release_date,studio,worldwide_gross,year
Look Who's Talking,2.9,58,5,"Romance
Comedy",Romance,Comedy,,5.8,93,4,PG-13,13-Oct-89,TriStar Pictures,"$296,999,813.00 ",1989
The Little Mermaid,3.6,92,8.1,"Fantasy
Family
Animation",Fantasy,Family,Animation,7.6,83,9,G,17-Nov-89,Walt Disney Pictures,"$184,155,863.00 ",1989
"""Crocodile"" Dundee II",2.7,11,3.5,"Comedy
Adventure
Action",Comedy,Adventure,Action,5.5,108,6,PG,25-May-88,Paramount Pictures,"$109,306,210.00 ",1988
Beetlejuice,3.5,81,7,Comedy,Comedy,,,7.4,92,10,PG,30-Mar-88,Warner Bros. / Geffen Pictures,"$73,707,461.00 ",1988
Big,3.5,97,7.9,"Fantasy
Drama
Comedy",Fantasy,Drama,Comedy,7.3,104,4,PG,3-Jun-88,20th Century Fox / Gracie Films,"$114,968,774.00 ",1988
Cocktail,3,5,3.8,"Romance
Drama
Comedy",Romance,Drama,Comedy,5.8,104,9,R,29-Jul-88,Touchstone Pictures,"$78,222,753.00 ",1988
Coming to America,3.4,68,5.8,"Romance
Comedy",Romance,Comedy,,6.9,116,3,R,29-Jun-88,Paramount Pictures,"$128,152,301.00 ",1988
Die Hard,3.9,92,8.4,"Thriller
Action",Thriller,Action,,8.3,131,7,R,20-Jul-88,20th Century Fox / Silver Pictures,"$83,008,852.00 ",1988
Rain Man,3.8,90,7.9,Drama,Drama,,,8,133,1,R,16-Dec-88,United Artists,"$172,825,435.00 ",1988
The Naked Gun: From the Files of Police Squad!,3.3,86,7.3,"Crime
Comedy",Crime,Comedy,,7.6,85,8,PG-13,2-Dec-88,Paramount Pictures,"$78,756,177.00 ",1988
Twins,2.7,36,4.8,Comedy,Comedy,,,5.9,107,5,PG,9-Dec-88,Universal Pictures,"$111,938,388.00 ",1988
Who Framed Roger Rabbit,3.5,98,8.4,"Crime
Comedy
Animation",Crime,Comedy,Animation,7.7,104,2,PG,22-Jun-88,Touchstone Pictures / Amblin Entertainment,"$156,452,370.00 ",1988
Beverly Hills Cop II,3.1,46,4.9,"Crime
Comedy
Action",Crime,Comedy,Action,6.4,100,3,R,20-May-87,Paramount,"$153,665,036.00 ",1987
Fatal Attraction,3.3,78,6.7,"Thriller
Drama",Thriller,Drama,,6.9,119,2,R,18-Sep-87,Paramount Pictures,"$156,645,693.00 ",1987
"Good Morning, Vietnam",3.5,89,7.4,"War
Drama
Comedy",War,Drama,Comedy,7.3,121,4,R,15-Jan-88,Touchstone,"$123,922,370.00 ",1987
Lethal Weapon,3.6,84,7.1,"Thriller
Crime
Action",Thriller,Crime,Action,7.6,110,9,R,6-Mar-87,Warner Bros.,"$65,207,127.00 ",1987
Moonstruck,3.4,92,7.8,"Romance
Drama
Comedy",Romance,Drama,Comedy,7.1,102,5,PG,15-Jan-88,Metro-Goldwyn-Mayer,"$80,640,528.00 ",1987
Stakeout,2.9,87,6.5,"Thriller
Comedy",Thriller,Comedy,,6.6,117,8,R,5-Aug-87,Touchstone,"$65,673,230.00 ",1987
The Secret of My Success,3,58,5.4,Comedy,Comedy,,,6.4,111,7,PG-13,10-Apr-87,Universal Pictures,"$66,995,000.00 ",1987
The Untouchables,3.9,80,7.4,"Thriller
Drama
Crime",Thriller,Drama,Crime,8,119,6,R,3-Jun-87,Paramount,"$76,270,454.00 ",1987
The Witches of Eastwick,3.2,73,6.2,"Horror
Fantasy
Comedy",Horror,Fantasy,Comedy,6.5,118,10,R,12-Jun-87,Warner Bros.,"$63,766,510.00 ",1987
Three Men and a Baby,2.9,74,5.9,"Family
Drama
Comedy",Family,Drama,Comedy,5.8,102,1,PG,25-Nov-87,Touchstone Pictures,"$167,780,960.00 ",1987
"""Crocodile"" Dundee",3,89,6.7,"Adventure
Comedy
Crime",Adventure,Comedy,Crime,6.5,97,2,PG-13,26-Sep-86,Paramount Pictures / 20th Century Fox,"$174,803,506.00 ",1986
Aliens,3.8,98,9,"Sci-Fi
Adventure
Action",Sci-Fi,Adventure,Action,8.4,137,7,R,18-Jul-86,20th Century Fox,"$86,160,248.00 ",1986
An American Tail,3.3,68,6.3,"Drama
Comedy
Animation",Drama,Comedy,Animation,6.9,80,8,G,21-Nov-86,Universal Studios,"$84,542,002.00 ",1986
Back to School,3,84,7,"Sport
Romance
Comedy",Sport,Romance,Comedy,6.5,96,6,PG-13,13-Jun-86,Orion Pictures,"$91,258,000.00 ",1986
Platoon,3.9,88,8.1,"War
Drama",War,Drama,,8.1,120,3,R,6-Feb-87,Orion Pictures,"$138,530,565.00 ",1986
Ruthless People,3.2,94,7,"Crime
Comedy",Crime,Comedy,,6.8,93,10,R,27-Jun-86,Buena Vista Pictures Distribution,"$71,624,879.00 ",1986
Star Trek IV: The Voyage Home,3.5,85,6.9,"Comedy
Adventure
Action",Comedy,Adventure,Action,7.3,119,5,PG,26-Nov-86,Paramount Pictures,"$109,713,132.00 ",1986
The Golden Child,2.9,26,3.9,"Comedy
Adventure
Action",Comedy,Adventure,Action,5.8,94,9,PG-13,12-Dec-86,Paramount Pictures,"$79,817,937.00 ",1986
"The Karate Kid, Part II",3,43,4.9,"Romance
Family
Action",Romance,Family,Action,5.8,113,4,PG,20-Jun-86,Columbia Pictures,"$115,103,979.00 ",1986
Top Gun,3.5,54,5.8,"Romance
Drama
Action",Romance,Drama,Action,6.8,110,1,PG,16-May-86,Paramount Pictures,"$176,781,728.00 ",1986
Back to the Future,3.8,96,8.6,"Romance
Comedy
Adventure",Romance,Comedy,Adventure,8.5,116,1,PG,3-Jul-85,Universal Pictures / Amblin Entertainment,"$210,609,762.00 ",1985
Cocoon,3.1,80,6.2,Sci-Fi,Sci-Fi,,,6.6,117,6,PG-13,21-Jun-85,20th Century Fox,"$85,313,124.00 ",1985
Out Of Africa,3.7,53,6.5,"Romance
Drama
Biography",Romance,Drama,Biography,7.2,161,5,PG,20-Dec-85,Universal Pictures,"$87,071,205.00 ",1985
Rambo: First Blood Part II,3.1,28,4.1,"Thriller
Adventure
Action",Thriller,Adventure,Action,6.4,96,2,R,22-May-85,TriStar Pictures / Carolco,"$150,415,432.00 ",1985
Rocky IV,3.4,38,4.8,"Sport
Drama",Sport,Drama,,6.7,91,3,PG,27-Nov-85,United Artists,"$127,873,716.00 ",1985
Spies Like Us,3.1,35,4.4,"Comedy
Adventure",Comedy,Adventure,,6.3,102,10,PG,6-Dec-85,Warner Bros.,"$60,088,980.00 ",1985
The Color Purple,3.9,88,6.9,Drama,Drama,,,7.8,154,4,PG-13,7-Feb-86,Warner Bros.,"$94,175,854.00 ",1985
The Goonies,3.8,68,6.1,"Family
Comedy
Adventure",Family,Comedy,Adventure,7.8,114,9,PG,7-Jun-85,Warner Bros.,"$61,389,680.00 ",1985
The Jewel of the Nile,3,48,4.8,"Comedy
Adventure
Action",Comedy,Adventure,Action,6,106,7,PG,11-Dec-85,20th Century Fox,"$75,973,200.00 ",1985
Witness,3.5,91,8.1,"Romance
Drama
Crime",Romance,Drama,Crime,7.5,112,8,R,8-Feb-85,Paramount Pictures,"$68,706,993.00 ",1985
Beverly Hills Cop,3.4,83,7.1,"Comedy
Action",Comedy,Action,,7.3,105,2,R,5-Dec-84,Paramount Pictures,"$234,760,478.00 ",1984
Footloose,3.3,56,5.7,"Romance
Music
Drama",Romance,Music,Drama,6.4,107,7,R,17-Feb-84,Paramount Pictures,"$80,035,402.00 ",1984
Ghostbusters,3.6,97,8.2,"Fantasy
Comedy",Fantasy,Comedy,,7.8,105,1,PG,8-Jun-84,Columbia Pictures,"$238,632,124.00 ",1984
Gremlins,3.4,85,7.3,"Horror
Comedy",Horror,Comedy,,7.2,106,4,PG,8-Jun-84,Warner Bros.,"$153,083,102.00 ",1984
Indiana Jones and the Temple of Doom,3.8,84,7.2,"Action
Adventure
Drama",Action,Adventure,Drama,7.6,118,3,PG,23-May-84,Paramount Pictures / Lucasfilm,"$179,870,271.00 ",1984
Police Academy,3.2,41,4.5,Comedy,Comedy,,,6.6,96,6,R,23-Mar-84,Warner Bros. / The Ladd Company,"$81,198,894.00 ",1984
Romancing the Stone,3.2,87,7.3,"Comedy
Adventure
Action",Comedy,Adventure,Action,6.9,106,9,PG,30-Mar-84,20th Century Fox,"$78,371,200.00 ",1984
Star Trek III: The Search for Spock,3.3,78,6.4,"Sci-Fi
Adventure
Action",Sci-Fi,Adventure,Action,6.6,105,10,PG,1-Jun-84,Paramount Pictures,"$76,572,238.00 ",1984
The Karate Kid,3.3,90,6.9,"Family
Drama
Action",Family,Drama,Action,7.2,126,5,PG,22-Jun-84,Columbia Pictures,"$90,815,558.00 ",1984
The Terminator,3.6,100,8.7,"Sci-Fi
Action",Sci-Fi,Action,,8.1,107,8,R,26-Oct-84,Orion Pictures,"$78,400,000.00 ",1984
Flashdance,3.1,33,4.7,"Romance
Music
Drama",Romance,Music,Drama,6.1,95,3,R,15-Apr-83,Paramount Pictures / PolyGram,"$92,921,203.00 ",1983
Mr. Mom,3,85,6.1,"Drama
Comedy
Western",Drama,Comedy,Western,6.4,91,9,PG,19-Aug-83,20th Century Fox,"$64,783,827.00 ",1983
Octopussy,3.1,42,5.2,"Thriller
Adventure
Action",Thriller,Adventure,Action,6.6,131,6,PG,10-Jun-83,United Artists,"$67,800,000.00 ",1983
Risky Business,3.2,96,7.5,"Drama
Crime
Comedy",Drama,Crime,Comedy,6.8,99,10,R,5-Aug-83,Warner Bros.,"$63,541,777.00 ",1983
Star Wars Episode VI: Return of the Jedi,4,79,6.8,"Fantasy
Adventure
Action",Fantasy,Adventure,Action,8.4,134,1,PG,25-May-83,Lucasfilm / 20th Century Fox,"$252,583,617.00 ",1983
Staying Alive,2.7,0,2.7,"Romance
Music
Drama",Romance,Music,Drama,4.4,93,8,PG,15-Jul-83,Paramount Pictures,"$64,892,670.00 ",1983
Sudden Impact,3.2,56,5.6,"Thriller
Action",Thriller,Action,,6.6,117,7,R,9-Dec-83,Warner Bros.,"$67,642,693.00 ",1983
Terms of Endearment,3.7,88,7.5,"Drama
Comedy",Drama,Comedy,,7.4,132,2,R,9-Dec-83,Paramount Pictures,"$108,423,489.00 ",1983
Trading Places,3.5,88,7.2,Comedy,Comedy,,,7.5,116,4,R,8-Jun-83,Paramount Pictures,"$90,404,800.00 ",1983
WarGames,3.3,92,7.6,"Thriller
Sci-Fi",Thriller,Sci-Fi,,7.1,114,5,PG,3-Jun-83,United Artists,"$79,567,667.00 ",1983
48 Hrs.,3.2,92,7.3,"Crime
Comedy
Action",Crime,Comedy,Action,6.9,96,7,R,8-Dec-82,Paramount Pictures,"$78,868,508.00 ",1982
An Officer and a Gentleman,3.5,81,7.4,"Romance
Drama",Romance,Drama,,7,124,3,R,13-Aug-82,Paramount Pictures / Lorimar,"$129,795,554.00 ",1982
Annie,3.1,50,5,"Family
Drama
Comedy",Family,Drama,Comedy,6.5,127,10,PG,18-Jun-82,Columbia Pictures / Rastar,"$57,059,003.00 ",1982
E.T. the Extra-Terrestrial,3.5,98,9.1,"Sci-Fi
Family
Western",Sci-Fi,Family,Western,7.9,115,1,PG,11-Jun-82,Universal Pictures,"$359,197,037.00 ",1982
Poltergeist,3.4,88,7.2,Horror,Horror,,,7.4,114,8,PG,4-Jun-82,Metro-Goldwyn-Mayer,"$76,606,280.00 ",1982
Porky's,3.1,30,4.6,Comedy,Comedy,,,6.1,94,5,R,19-Mar-82,20th Century Fox,"$105,492,483.00 ",1982
Rocky III,3.3,61,5.4,"Sport
Drama",Sport,Drama,,6.7,99,4,PG,28-May-82,United Artists,"$124,146,897.00 ",1982
Star Trek II: The Wrath of Khan,3.8,90,7.9,"Drama
Adventure
Action",Drama,Adventure,Action,7.7,113,6,PG,4-Jun-82,Paramount Pictures,"$78,912,963.00 ",1982
The Best Little Whorehouse in Texas,3.2,56,5.1,"Musical
Comedy",Musical,Comedy,,5.7,114,9,R,23-Jul-82,Universal Pictures / RKO Pictures,"$69,701,637.00 ",1982
